Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season,Season_Label,1,Mikal Bridges,28,NYK,SF,82,82.1,3036,14.0,.585,.391,.100,2.7,7.0,4.9,14.4,1.2,1.3,9.7,19.6,3.7,2.0,5.7,.090,0.4,-0.9,-0.5,1.2.1,bridgmi01
Aaron Brooks,25.0,HOU,PG,82.0,82.0,2919.0,16.0,0.549,0.394,0.224,2.0,6.6,4.2,25.6,1.2,0.3,13.7,25.7,3.9,1.6,5.5,0.091,2.3,-1.6,0.7,1.9,MIP-1,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boris Diaw,27.0,CHA,PF,82.0,82.0,2906.0,12.8,0.552,0.266,0.19,5.5,11.9,8.8,18.9,1.1,1.6,17.5,16.2,2.4,3.8,6.2,0.103,-0.1,0.9,0.8,2.0,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Curry,21.0,GSW,PG,80.0,77.0,2896.0,16.3,0.568,0.332,0.175,1.8,12.0,6.8,24.6,2.5,0.5,16.5,21.8,3.0,1.6,4.7,0.077,1.1,-0.5,0.7,2.0,ROY-2,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Johnson,28.0,ATL,SG,76.0,76.0,2886.0,19.3,0.538,0.253,0.194,3.0,11.4,7.1,22.0,1.5,0.1,8.8,26.3,6.0,2.4,8.4,0.14,3.4,-0.7,2.7,3.4,"MVP-12,AS,NBA3",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Kidd,36.0,DAL,PG,80.0,80.0,2881.0,17.2,0.577,0.617,0.148,1.9,15.6,8.9,36.4,2.6,0.9,21.4,14.5,4.8,4.0,8.9,0.148,2.5,1.7,4.2,4.5,AS,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Smith,24.0,ATL,PF,81.0,81.0,2871.0,21.0,0.536,0.007,0.422,9.0,19.8,14.3,19.0,2.4,4.5,14.3,22.2,4.2,5.1,9.3,0.155,2.4,2.7,5.1,5.1,"DPOY-2,DEF2",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Rose,21.0,CHI,PG,78.0,78.0,2871.0,18.6,0.532,0.044,0.246,2.6,8.7,5.7,30.3,1.0,0.7,12.5,27.2,3.5,2.5,6.0,0.1,2.6,-0.9,1.7,2.7,AS,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Horford,23.0,ATL,C,81.0,81.0,2845.0,19.4,0.594,0.001,0.319,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,6.9,3.9,10.9,0.183,1.8,0.5,2.3,3.1,AS,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwight Howard,24.0,ORL,C,82.0,82.0,2843.0,24.0,0.63,0.008,0.978,12.0,31.3,22.0,8.7,1.4,6.0,18.7,23.9,6.1,7.1,13.2,0.223,1.6,2.8,4.4,4.6,"MVP-4,DPOY-1,AS,NBA1,DEF1",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amar'e Stoudemire,27.0,PHO,PF,82.0,82.0,2838.0,22.6,0.615,0.005,0.5,9.7,18.9,14.5,4.8,0.9,2.1,12.1,27.3,8.2,2.5,10.7,0.181,2.1,-1.1,1.0,2.2,"MVP-10,AS,NBA2",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,31.0,LAL,SG,73.0,73.0,2835.0,21.9,0.545,0.192,0.345,3.1,12.2,7.7,23.8,2.1,0.5,11.4,32.3,5.4,4.0,9.4,0.16,3.9,0.2,4.1,4.4,"MVP-3,DPOY-12,AS,NBA1,DEF1",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Salmons,30.0,2TM,SG,81.0,56.0,2824.0,14.7,0.553,0.312,0.308,1.4,9.4,5.4,12.9,1.8,0.7,9.9,19.9,3.7,3.4,7.1,0.121,0.4,1.2,1.6,2.5,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Salmons,30.0,CHI,SG,51.0,28.0,1695.0,12.7,0.53,0.35,0.268,1.2,10.1,5.7,11.6,2.0,1.0,10.3,18.1,1.2,2.0,3.2,0.092,-0.9,1.3,0.5,1.1,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Salmons,30.0,MIL,SG,30.0,28.0,1129.0,17.6,0.581,0.264,0.357,1.6,8.3,4.8,15.0,1.6,0.3,9.4,22.7,2.5,1.4,3.9,0.165,2.2,0.9,3.2,1.4,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Allen,34.0,BOS,SG,80.0,80.0,2819.0,15.2,0.601,0.41,0.26,2.0,8.8,5.5,12.3,1.2,0.7,10.6,20.2,5.1,2.9,7.9,0.135,1.5,-0.3,1.2,2.3,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Westbrook,21.0,OKC,PG,82.0,82.0,2813.0,17.8,0.491,0.09,0.364,6.0,10.3,8.2,38.6,2.0,0.9,16.6,25.7,2.7,3.4,6.1,0.105,1.7,-0.5,1.2,2.3,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deron Williams,25.0,UTA,PG,76.0,76.0,2802.0,20.6,0.574,0.246,0.397,2.2,10.4,6.4,44.5,1.8,0.5,16.9,23.8,7.4,3.0,10.3,0.177,4.2,-0.4,3.8,4.1,"MVP-9,AS,NBA2",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Bargnani,24.0,TOR,PF,80.0,80.0,2799.0,15.5,0.552,0.284,0.205,4.6,15.9,10.4,5.4,0.5,3.0,8.8,22.3,3.3,0.9,4.2,0.072,0.9,-1.7,-0.8,0.9,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwyane Wade,28.0,MIA,SG,77.0,77.0,2792.0,28.0,0.562,0.161,0.465,4.5,11.1,7.8,36.4,2.7,2.4,12.2,34.9,8.5,4.6,13.0,0.224,7.1,2.1,9.2,7.9,"MVP-5,DPOY-10,AS,NBA1,DEF2",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caron Butler,29.0,2TM,SG,74.0,74.0,2783.0,13.7,0.507,0.138,0.3,4.3,14.9,9.5,9.2,2.2,0.7,11.9,22.1,0.6,2.9,3.5,0.061,-1.3,0.0,-1.3,0.5,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caron Butler,29.0,WAS,SF,47.0,47.0,1853.0,13.5,0.506,0.137,0.304,4.2,15.6,9.8,9.6,1.9,0.6,12.6,22.0,0.4,1.7,2.1,0.054,-1.1,-0.2,-1.3,0.3,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caron Butler,29.0,DAL,SG,27.0,27.0,930.0,14.2,0.509,0.14,0.291,4.5,13.3,8.9,8.5,2.7,0.7,10.5,22.3,0.2,1.2,1.4,0.075,-1.6,0.3,-1.3,0.2,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nenê,27.0,DEN,C,82.0,82.0,2755.0,18.9,0.631,0.003,0.58,7.0,19.1,13.1,11.6,2.1,2.2,12.2,16.5,7.1,3.7,10.8,0.188,1.6,1.6,3.2,3.6,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danilo Gallinari,21.0,NYK,SF,81.0,74.0,2747.0,14.8,0.575,0.526,0.331,2.6,14.0,8.2,7.6,1.4,1.6,9.4,19.3,4.1,1.5,5.6,0.098,1.2,-0.7,0.5,1.7,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasual Butler,30.0,LAC,SF,82.0,64.0,2702.0,10.7,0.524,0.497,0.167,1.7,8.7,5.1,6.8,0.7,1.9,7.8,17.0,1.8,0.9,2.7,0.048,-0.8,-1.1,-1.9,0.1,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyreke Evans,20.0,SAC,SG,72.0,72.0,2677.0,18.2,0.529,0.121,0.399,2.8,13.6,8.1,26.1,2.1,0.7,13.6,26.2,3.3,2.1,5.4,0.097,1.3,0.0,1.3,2.2,ROY-1,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Boozer,28.0,UTA,PF,78.0,78.0,2673.0,21.3,0.599,0.0,0.35,8.2,29.9,19.4,15.8,1.6,1.1,14.3,24.8,5.3,4.6,9.9,0.178,2.4,1.1,3.4,3.7,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Jennings,20.0,MIL,PG,82.0,82.0,2671.0,14.5,0.475,0.319,0.225,2.0,10.4,6.0,29.6,2.1,0.5,13.0,26.1,0.3,3.9,4.2,0.075,0.5,0.2,0.7,1.8,ROY-3,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Scola,29.0,HOU,PF,82.0,82.0,2671.0,17.2,0.55,0.005,0.245,7.2,23.6,15.1,11.1,1.2,0.7,11.9,22.7,3.4,3.0,6.3,0.114,0.0,-0.3,-0.3,1.1,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Nash,35.0,PHO,PG,81.0,81.0,2660.0,21.6,0.615,0.295,0.228,1.5,9.4,5.7,50.9,0.8,0.3,21.4,22.9,9.1,0.8,9.9,0.178,6.1,-1.8,4.3,4.2,"MVP-8,AS,NBA2",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luol Deng,24.0,CHI,SF,70.0,69.0,2651.0,16.1,0.531,0.082,0.325,5.6,15.8,10.7,9.1,1.3,1.8,10.4,21.9,2.5,3.4,5.9,0.106,0.7,0.3,1.0,2.0,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monta Ellis,24.0,GSW,SG,64.0,64.0,2647.0,16.7,0.517,0.162,0.276,1.9,9.0,5.4,21.2,2.6,0.7,13.4,29.5,0.0,1.3,1.3,0.023,0.1,-1.5,-1.4,0.4,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Felton,25.0,CHA,PG,80.0,80.0,2643.0,15.2,0.525,0.184,0.204,2.5,10.5,6.6,29.5,2.5,0.7,15.4,19.2,2.5,4.0,6.5,0.118,0.1,1.5,1.6,2.3,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,25.0,DEN,SF,69.0,69.0,2634.0,22.2,0.548,0.125,0.407,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,5.6,2.4,7.9,0.145,3.5,-1.2,2.3,2.9,"MVP-6,AS,NBA2",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Ariza,24.0,HOU,SF,72.0,71.0,2629.0,13.3,0.488,0.407,0.228,3.3,14.7,8.8,16.7,2.4,1.1,12.8,21.2,0.1,3.1,3.2,0.058,-0.4,0.9,0.5,1.7,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Kaman,27.0,LAC,C,76.0,76.0,2608.0,16.5,0.527,0.005,0.255,8.1,23.2,15.6,8.6,0.7,2.7,14.3,27.1,0.0,2.4,2.4,0.044,-1.4,-1.1,-2.5,-0.3,AS,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metta World Peace,30.0,LAL,SF,77.0,77.0,2605.0,12.1,0.514,0.4,0.251,4.3,9.9,7.1,13.3,2.1,0.6,12.8,16.2,1.8,3.5,5.3,0.098,-0.6,1.1,0.5,1.6,DPOY-6,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Odom,30.0,LAL,PF,82.0,38.0,2585.0,15.9,0.533,0.246,0.273,8.0,26.5,17.3,15.6,1.5,1.7,15.3,17.0,2.8,4.9,7.7,0.143,0.7,1.8,2.5,2.9,6MOY-6,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Conley,22.0,MEM,PG,80.0,80.0,2569.0,13.9,0.526,0.255,0.225,1.4,7.3,4.3,24.8,2.2,0.4,15.7,18.4,2.6,1.3,4.0,0.074,0.0,-0.6,-0.6,0.9,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Terry,32.0,DAL,SG,77.0,12.0,2540.0,16.5,0.552,0.358,0.257,0.9,5.4,3.2,18.8,1.9,0.5,8.6,23.0,4.4,2.1,6.5,0.123,1.6,-0.1,1.5,2.2,6MOY-2,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Bosh,25.0,TOR,C,70.0,70.0,2526.0,25.0,0.592,0.019,0.509,9.9,25.2,17.7,11.5,0.9,2.1,10.7,28.7,7.9,1.7,9.6,0.182,4.8,-1.2,3.6,3.6,"MVP-12,AS",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baron Davis,30.0,LAC,PG,75.0,73.0,2523.0,17.4,0.501,0.292,0.287,2.4,9.9,6.1,39.6,2.6,1.3,15.6,24.3,2.5,2.1,4.5,0.086,1.5,0.0,1.5,2.2,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Jefferson,29.0,SAS,SF,81.0,70.0,2520.0,13.1,0.551,0.241,0.37,2.7,13.6,8.3,9.6,0.9,1.1,10.4,18.3,3.0,3.0,6.0,0.113,-0.5,0.3,-0.2,1.2,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Miller,33.0,POR,PG,82.0,66.0,2500.0,18.1,0.53,0.088,0.432,4.0,9.2,6.6,30.3,2.0,0.3,13.8,23.8,4.6,2.4,7.0,0.134,1.8,0.0,1.8,2.4,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Stuckey,23.0,DET,PG,73.0,67.0,2499.0,15.6,0.479,0.071,0.324,3.1,11.1,6.8,24.7,2.2,0.4,11.4,26.4,1.4,1.3,2.7,0.052,0.0,-0.4,-0.4,1.0,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Rush,24.0,IND,SG,82.0,64.0,2491.0,9.6,0.522,0.43,0.127,1.8,13.5,7.6,6.9,1.1,1.9,11.1,14.8,0.0,2.5,2.5,0.047,-1.5,0.1,-1.3,0.4,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chauncey Billups,33.0,DEN,PG,73.0,73.0,2490.0,20.2,0.601,0.423,0.532,1.2,9.3,5.3,26.1,1.7,0.3,13.0,24.3,7.7,1.7,9.5,0.182,4.5,-0.8,3.7,3.6,"MVP-12,AS",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Richardson,29.0,PHO,SG,79.0,76.0,2485.0,16.6,0.574,0.401,0.184,3.9,13.9,9.2,8.8,1.3,0.9,7.9,20.8,5.0,1.7,6.6,0.128,2.2,-0.5,1.7,2.3,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Brewer,23.0,MIN,SG,82.0,82.0,2482.0,12.1,0.502,0.25,0.27,3.1,9.6,6.3,12.5,2.4,0.9,13.4,21.5,-0.4,1.4,1.0,0.02,-2.1,-0.1,-2.2,-0.1,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirk Hinrich,29.0,CHI,SG,74.0,53.0,2481.0,11.6,0.501,0.372,0.15,1.1,10.4,5.8,20.5,1.8,0.7,12.3,16.6,1.2,2.8,4.0,0.077,-1.6,1.0,-0.5,0.9,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beno Udrih,27.0,SAC,PG,79.0,41.0,2477.0,15.7,0.566,0.237,0.168,1.7,8.5,5.1,24.1,1.8,0.3,13.1,18.6,4.2,1.3,5.5,0.107,0.7,-0.2,0.4,1.5,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Gasol,25.0,MEM,C,69.0,69.0,2469.0,19.3,0.617,0.002,0.578,9.8,20.5,15.1,10.2,1.4,3.4,14.2,16.9,5.9,2.5,8.4,0.164,1.8,1.1,2.8,3.0,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Landry,26.0,2TM,PF,80.0,29.0,2469.0,19.0,0.6,0.003,0.459,8.5,13.4,10.9,4.6,1.1,1.9,10.8,22.5,5.8,1.9,7.7,0.15,1.2,-0.4,0.8,1.7,6MOY-8,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Landry,26.0,HOU,PF,52.0,1.0,1415.0,21.1,0.621,0.0,0.507,9.5,13.8,11.6,5.0,1.0,2.4,11.3,23.8,4.1,1.3,5.4,0.184,2.0,-0.1,1.9,1.4,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Landry,26.0,SAC,PF,28.0,28.0,1054.0,16.0,0.568,0.008,0.388,7.1,12.8,9.9,4.1,1.3,1.2,10.1,20.7,1.6,0.6,2.3,0.105,0.1,-0.8,-0.8,0.3,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Williams,23.0,ATL,SF,81.0,81.0,2468.0,13.0,0.54,0.199,0.324,5.0,14.8,9.8,5.6,1.4,1.4,8.7,15.5,3.1,2.6,5.7,0.112,-0.4,0.1,-0.4,1.0,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Jefferson,25.0,MIN,C,76.0,76.0,2463.0,19.0,0.524,0.004,0.236,8.0,24.2,16.0,10.0,1.3,3.0,9.9,24.3,2.3,2.3,4.6,0.09,0.7,-0.4,0.4,1.5,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Crawford,29.0,ATL,SG,79.0,0.0,2460.0,18.4,0.573,0.386,0.285,1.6,8.0,4.8,16.1,1.3,0.4,9.9,25.8,5.6,1.7,7.3,0.143,3.5,-1.1,2.4,2.7,6MOY-1,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Duncan,33.0,SAS,C,78.0,77.0,2438.0,24.7,0.56,0.01,0.346,10.8,26.8,18.9,17.8,1.0,3.5,10.1,26.0,6.4,4.5,10.9,0.215,4.4,1.8,6.1,5.0,"DPOY-14,AS,NBA3,DEF2",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Hill,37.0,PHO,SF,81.0,81.0,2430.0,14.0,0.561,0.114,0.357,3.6,16.3,10.3,11.2,1.2,1.0,11.7,16.8,3.7,1.8,5.5,0.109,0.3,0.3,0.6,1.6,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Roy,25.0,POR,SG,65.0,65.0,2419.0,21.3,0.568,0.213,0.424,3.7,10.9,7.3,23.1,1.4,0.5,9.5,26.7,7.0,2.1,9.1,0.18,4.7,0.0,4.7,4.1,"AS,NBA3",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Pierce,32.0,BOS,SF,71.0,71.0,2411.0,18.2,0.613,0.303,0.499,2.0,13.4,7.9,15.1,1.8,1.0,13.6,23.8,5.0,3.3,8.3,0.165,2.3,0.7,3.0,3.0,AS,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,33.0,2TM,PF,66.0,64.0,2406.0,17.3,0.529,0.238,0.29,6.6,20.1,13.4,6.1,1.5,0.7,7.2,23.9,3.0,2.8,5.8,0.115,1.1,-0.9,0.2,1.3,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,33.0,WAS,PF,41.0,41.0,1595.0,17.5,0.528,0.24,0.31,7.0,19.3,13.1,5.8,1.4,0.4,7.1,24.3,2.3,1.4,3.7,0.112,1.7,-1.4,0.3,0.9,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,33.0,CLE,PF,25.0,23.0,811.0,16.7,0.53,0.235,0.247,5.7,21.8,14.2,6.8,1.8,1.1,7.5,23.1,0.7,1.4,2.1,0.122,0.0,0.0,0.0,0.4,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pau Gasol,29.0,LAL,C,65.0,65.0,2403.0,22.9,0.593,0.006,0.429,11.4,22.7,17.1,15.0,0.8,3.5,12.5,21.4,6.8,4.2,11.0,0.22,3.7,1.3,4.9,4.2,"AS,NBA3",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shawn Marion,31.0,DAL,SF,75.0,75.0,2385.0,14.7,0.535,0.024,0.179,7.7,15.2,11.5,7.2,1.5,1.9,10.6,18.1,2.1,2.8,5.0,0.1,-0.5,0.1,-0.5,0.9,DPOY-13,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtney Lee,24.0,NJN,SG,71.0,66.0,2375.0,12.8,0.525,0.29,0.197,2.8,9.7,6.1,9.0,2.1,0.6,8.3,17.7,1.8,1.3,3.1,0.063,-1.0,-0.4,-1.4,0.4,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emeka Okafor,27.0,NOH,C,82.0,82.0,2370.0,16.5,0.547,0.0,0.418,12.2,24.7,18.4,3.5,1.2,4.1,12.5,17.1,2.6,2.8,5.5,0.111,-0.9,-0.3,-1.2,0.4,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashard Lewis,30.0,ORL,PF,72.0,72.0,2369.0,14.0,0.573,0.525,0.224,3.1,12.1,7.8,7.4,1.7,0.9,10.9,19.4,3.1,3.4,6.5,0.132,0.9,0.8,1.8,2.3,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
